SMILES,labels,Gene_Symbol
C1=C(N=C(NC2=CC=C(C=C2)N)N=C1)C=3SC(=NC3C)C,1,CDK2_A
C1=C(N=C(NC2=CC=C(C=C2)N)N=C1)C=3SC(=NC3C)C,1,CDK4_A
C1=C(N=C(NC2=CC=C(C=C2)N)N=C1)C=3SC(=NC3C)C,1,CDK7_A
C1=C(N=C(NC2=CC=C(C=C2)N)N=C1)C=3SC(=NC3C)C,1,CDK9_A
C1=C(N=C(NC2=CC=C(C=C2)N)N=C1)C=3SC(=NC3C)C,1,CDK1_A
N=1C(=NC=CC1NC=2C(Cl)=CC=CC2)NC=3C=CC(OCC(CN(C)C)O)=CC3,1,CDK2_A
N=1C(=NC=CC1NC=2C(Cl)=CC=CC2)NC=3C=CC(OCC(CN(C)C)O)=CC3,1,CDK4_A
C1=CC2=NN=C(N2N=C1N[C@H]3CC[C@@H](CC3)O)C4=CC(=CC=C4)C(F)(F)F,1,CDK2_A
C=12C(=C(NC=3C=C(N)C(=CC3)Cl)N=C(N1)N[C@H](C(C)C)CO)N=CN2C(C)C,0,CDK1_N
N1=CN=C2N(C=C(C=3C=CC=C(OC)C3)C2=C1N)C4=CC=CC(=C4)CO,0,CDK1_N
C1=C(C=2C=CN=C(N2)NC=3C=CC(=CC3)S(NCCOC)(=O)=O)N(C(=N1)C)CC(C)C,1,CDK2_A
C12=C(N=C(N=C1NC3=CC=C(C=C3)F)N[C@H]4[C@@H](N)CCCC4)N(CC)C=N2,1,CDK1_A
C1=C2C(=NC=C1)C=CN2C=3C=CN=C(N3)N,0,CDK2_N
ClC=1C(CN2CC(C2)C(O)=O)=CC=C(OCC=3C=C(C(F)(F)F)C=CC3)C1,1,CDK5_A
ClC=1C(CN2CC(C2)C(O)=O)=CC=C(OCC=3C=C(C(F)(F)F)C=CC3)C1,1,CDK7_A
ClC=1C(CN2CC(C2)C(O)=O)=CC=C(OCC=3C=C(C(F)(F)F)C=CC3)C1,1,CDK8_A
ClC=1C(CN2CC(C2)C(O)=O)=CC=C(OCC=3C=C(C(F)(F)F)C=CC3)C1,1,CDK9_A
ClC1=C2C(NC(=O)C)=C(SC2=CC=C1Cl)C(=O)N,1,CDK2_A
ClC1=C2C(NC(=O)C)=C(SC2=CC=C1Cl)C(=O)N,1,CDK5_A
ClC1=C2C(NC(=O)C)=C(SC2=CC=C1Cl)C(=O)N,1,CDK1_A
C=1(N2C(C=CC(=C2)C(C3=C(Cl)C=CC=C3Cl)=O)=NC1N)C(C=4C(=CC(=CC4F)C(=O)N)F)=O,1,CDK2_A
C=1(N2C(C=CC(=C2)C(C3=C(Cl)C=CC=C3Cl)=O)=NC1N)C(C=4C(=CC(=CC4F)C(=O)N)F)=O,1,CDK4_A
C1(=C2C(=NC=NC2=NN1)NC3=CC(Cl)=CC=C3)NC=4C=CC(=CC4)N(C)C,1,CDK1_A
S(=O)(=O)(N)C1=CC=C(CNC2C(=NC3=CC4=C(N(N=C4)C(OC(C)(C)C)=O)C=C3)C(=O)C2=O)C=C1,1,CDK2_A
S(=O)(=O)(N)C1=CC=C(CNC2C(=NC3=CC4=C(N(N=C4)C(OC(C)(C)C)=O)C=C3)C(=O)C2=O)C=C1,1,CDK5_A
S(=O)(=O)(N)C1=CC=C(CNC2C(=NC3=CC4=C(N(N=C4)C(OC(C)(C)C)=O)C=C3)C(=O)C2=O)C=C1,1,CDK1_A
